whois_regDate,whois_expDate,whois_updatedDate,dot_count,url_len,digit_count,special_count,hyphen_count,double_slash,single_slash,at_the_rate,protocol,protocol_count,label,url
403,326,23,6,225,58,12,4,0,10,0,0,0,1,nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526
2727,194,168,7,177,47,0,1,0,11,0,0,0,1,serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/
5431,46,317,6,60,0,0,0,0,2,0,0,0,1,mail.printakid.com/www.online.americanexpress.com/index.html
3643,374,5,1,116,21,1,1,1,10,0,0,0,1,thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/
-1,-1,-1,3,36,0,0,0,0,1,0,0,0,1,smilesvoegol.servebbs.org/voegol.php
3887,129,296,2,61,7,0,3,0,2,0,0,0,1,premierpaymentprocessing.com/includes/boleto-2via-07-2012.php
166,198,163,5,60,4,0,0,0,6,0,0,0,1,myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php
-1,-1,-1,1,19,4,0,0,0,1,0,0,0,1,super1000.info/docs
882,212,152,4,193,35,9,3,0,10,0,0,0,1,horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b
-1,-1,-1,3,45,0,0,0,0,3,0,0,0,1,phlebolog.com.ua/libraries/joomla/results.php
7876,523,411,2,79,7,2,0,0,2,0,0,0,1,docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ
-1,-1,-1,4,63,0,1,1,0,5,0,0,0,1,www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx
-1,-1,-1,3,59,0,1,0,0,3,0,0,0,1,www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php
144,220,5,3,53,0,0,0,0,5,0,0,0,1,dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html
2916,5,77,2,37,0,0,0,0,4,0,0,0,1,www.avedeoiro.com/site/plugins/chase/
1043,51,342,5,65,4,0,0,0,6,0,0,0,1,www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/
-1,-1,-1,5,59,4,0,0,0,2,0,0,0,1,mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/
-1,-1,-1,5,49,4,0,0,0,1,0,0,0,1,mercadolivre.com.br.premiosfidelidade2012.com.br/
-1,-1,-1,2,87,2,0,6,0,7,0,0,0,1,www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/
5764,79,284,2,77,0,0,1,0,7,0,0,0,1,jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php
-1,-1,-1,1,12,2,0,0,0,1,0,0,0,1,xini.eu/00Qe
166,198,163,5,63,4,0,0,0,6,0,0,0,1,myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php
6681,623,89,2,29,0,0,0,0,1,0,0,0,1,ebayisapidlld.altervista.org/
882,212,152,4,188,38,8,3,0,10,0,0,0,1,horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce
-1,-1,-1,3,95,1,0,6,0,7,0,0,0,1,www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code5/security/login.php
6681,623,89,3,58,0,0,0,0,3,0,0,0,1,sontemeda.altervista.org/paypinoko/paypinoko/procesing.php
800,-71,29,2,37,0,0,0,0,3,0,0,0,1,promusic.co/components/interbank.com/
-1,-1,-1,3,66,25,0,0,0,5,0,0,0,1,uvb.lg.ua/templates/a216/.PayPaI/e9d83d4fd35ff9d702196ab514573999/
7876,523,411,4,94,3,2,0,0,4,0,0,0,1,docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3cTAyV1E6MQ
-1,-1,-1,2,47,1,0,1,0,3,0,0,0,1,phamxuanlinh.tk/secure-code8/security/login.php
-1,-1,-1,3,33,0,0,0,0,1,0,0,0,1,stthomasedu.ucoz.ua/microsoft.htm
4741,372,8,10,103,17,0,0,0,3,0,0,0,1,paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/3a3e3c4dba5e5cc4407a5694adf1aa8e/
6281,2484,735,1,19,0,0,0,0,1,0,0,0,1,tinyurl.com/bswqloj
3697,319,74,3,37,2,0,0,0,2,0,0,0,1,users11.jabry.com/blopp/Aolupdate.htm
-1,-1,-1,1,13,0,0,0,0,1,0,0,0,1,tad.ly/BUpQLx
6362,1672,245,2,42,0,0,0,0,3,0,0,0,1,westerncentermuseum.org/plugins/tmp/sp.php
-1,-1,-1,3,78,4,0,0,0,6,0,0,0,1,cardpromocion2012.com.br/vaidevisa/asp/conta/participe/autentica/autentica.php
-1,-1,-1,3,50,0,1,0,0,3,0,0,0,1,portalsalinas.com.br/modules/mod_acepolls/spam.php
6784,520,211,2,28,0,0,0,0,1,0,0,0,1,trigononline.com/Support.php
7876,523,411,2,79,7,2,0,0,2,0,0,0,1,docs.google.com/spreadsheet/viewform?formkey=dG9xR28xLUp1R2JPbmpRYjFGc2lmanc6MQ
3697,319,74,3,38,2,0,0,0,2,0,0,0,1,users11.jabry.com/reaseo/Aolupdate.htm
6281,2484,735,1,19,2,0,0,0,1,0,0,0,1,tinyurl.com/c5br4qc
4910,202,184,3,52,0,0,0,0,4,0,0,0,1,www.allandmedia.com/opencart/system/Cielo/index.html
-1,-1,-1,2,32,0,0,0,0,2,0,0,0,1,www.russel.sk/menuonlineprivado/
4078,304,91,3,55,0,1,0,0,3,0,0,0,1,www.bpoaccess.com/components/com_newsfeeds/cadastro.php
-1,-1,-1,6,41,0,0,0,0,2,0,0,0,1,apajufe.com.br/www.cielo.com.br/index.php
6,359,1,4,72,0,0,0,0,4,0,0,0,1,www.pichincha.initi.in/internexo/jsp/loginbiometrico/loginBiometrico.jsp
-1,-1,-1,1,37,0,0,0,0,5,0,0,0,1,melodylove.ru/images/stories/style/s/
6535,37,327,5,50,0,0,0,0,3,0,0,0,1,www.dd.gostynin.edu.pl/images/smilies/Gbplugin.php
-1,-1,-1,3,45,0,0,0,0,3,0,0,0,1,account.craigjsilist.org/blog/login/index.php
2884,37,347,3,56,8,0,1,0,6,0,0,0,1,optimalit.co.uk/wp-content/uploads/2012/07/24/review.php
4851,261,6,3,50,0,0,1,0,4,0,0,0,1,www.meor.org/wp-includes/images/crystal/login.html
-1,-1,-1,2,206,104,2,0,0,5,0,0,0,1,raboardiendo.es/cmd/paypal/2/897962b2c7faf34e7f2d8353af8bdf4e/webscr.html?cmd=5885d80a13c0db1f22d2300ef60a67593b79a4d03747447e6b625328d36121a16bef586b4cee084cb52c28011ecf68066bef586b4cee084cb52c28011ecf6806
3811,571,172,3,69,2,1,0,0,7,0,0,0,1,www.mbine.com/es/TLBS/tlbs/esp/segmento/particulares=JSP91/index.html
7487,181,580,5,62,30,0,0,0,1,0,0,0,1,click2.cardmemberservices.com/963227831.16589.723931113775.130
7250,54,674,3,23,1,0,0,0,1,0,0,0,1,www.wallhome.com/M5.php
1719,106,258,3,44,0,0,0,0,3,0,0,0,1,www.sexymalaysia.com/assets/bbva/compass.htm
7876,523,411,3,95,5,2,0,0,4,0,0,0,1,docs.google.com/a/airtelmail.in/spreadsheet/viewform?formkey=dGt3aG9PNXdhekNLNzZoZ1h2TUFmTUE6MQ
5345,132,232,4,57,0,0,0,0,4,0,0,0,1,www.stacksofplaques.net/catalog/images/.banners/index.php
-1,-1,-1,3,28,1,0,0,0,1,0,0,0,1,leuie.5gbfree.com/index.html
-1,-1,-1,2,23,1,0,0,0,2,0,0,0,1,ntcrulz.5gbfree.com/fb/
4478,1365,765,3,33,1,0,0,0,1,0,0,0,1,rsaxena.5gbfree.com/facebook.html
4289,93,244,2,33,1,0,1,0,0,0,0,0,1,steamcommunity-giveaway.my3gb.com
5514,329,-1,2,17,2,0,0,0,0,0,0,0,1,steamglfts.h16.ru
5205,272,-1,2,19,1,0,0,0,1,0,0,0,1,steamglfts.hut2.ru/
4478,1365,765,3,30,1,0,0,0,1,0,0,0,1,vinzajah.5gbfree.com/login.php
5205,272,-1,2,18,1,0,1,0,0,0,0,0,1,vk-krasota.hut2.ru
